Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v1/documents,43,0,9,10.32536046519919,5.041800002800301,48.01309999311343,270.0,0.3603921534249941,0.0,9,10,10,11,11,15,48,48,48,48,48
GET,/v1/usage,42,0,9,8.860947621758983,4.832300008274615,31.87840001191944,162.45238095238096,0.3520109405546454,0.0,9,9,10,10,11,11,32,32,32,32,32
POST,POST /v1/query/stream,384,0,1026.1291999777313,1051.6673286469238,1026.1291999777313,1249.770800000988,0.0,3.2183857422139006,0.0,1000,1000,1100,1100,1100,1100,1100,1200,1200,1200,1200
SSE,time to first token,384,0,1526.669699989725,1553.403842708197,1526.669699989725,1753.7163999804761,0.0,3.2183857422139006,0.0,1500,1500,1600,1600,1600,1600,1700,1700,1800,1800,1800
,Aggregated,853,0,1100,1173.696928605491,4.832300008274615,1753.7163999804761,21.609613130128956,7.1491745784074405,0.0,1100,1500,1500,1500,1600,1600,1600,1600,1800,1800,1800
